Time,Temperature,Pressure,Sound,Light,Pressure,Humidity,Comment
s,°C,kPa,dBA,lx,kPa,%RH,

167.04,14.5,100.3,73.7,841,100.35,35.0,
168,14.6,100.5,40.0,511,100.37,35.0,
168.96,14.7,100.3,69.0,434,100.35,35.0,
169.92,14.8,100.3,83.4,351,100.36,35.0,
170.88,14.9,100.3,68.2,311,100.37,35.0,
171.84,15.1,100.3,75.9,305,100.37,35.0,
172.8,15.2,100.3,80.6,178,100.37,35.0,
173.76,15.3,100.3,79.8,97,100.36,35.0,
174.72,15.4,100.5,79.0,83,100.36,35.0,
175.68,15.5,100.5,65.1,87,100.36,35.0,
176.64,15.6,100.5,74.3,125,100.38,35.1,
177.6,15.7,100.5,54.2,349,100.35,35.1,
178.56,15.8,100.5,67.3,412,100.37,35.1,
179.52,15.9,100.5,57.1,290,100.35,35.1,
180.48,16.0,100.5,40.0,429,100.36,35.0,
181.44,16.1,100.5,81.8,438,100.36,35.0,
182.4,16.2,100.5,81.5,229,100.37,35.0,
183.36,16.3,100.5,55.0,211,100.38,35.0,
184.32,16.4,100.5,67.8,159,100.39,34.9,
185.28,16.5,100.5,65.6,274,100.37,34.9,
186.24,16.6,100.5,64.9,355,100.36,34.9,
187.2,16.7,100.5,57.6,339,100.37,34.9,
188.16,16.7,100.7,78.9,313,100.38,34.8,
189.12,16.8,100.5,65.9,296,100.39,34.8,
190.08,16.9,100.7,63.8,284,100.35,34.8,
191.04,17.0,100.7,40.8,287,100.37,34.8,
192,17.1,100.7,63.5,257,100.37,34.9,
192.96,17.1,100.7,66.3,256,100.38,34.9,
193.92,17.3,100.7,58.7,288,100.34,34.9,
194.88,17.3,100.7,40.0,332,100.37,34.9,
195.84,17.4,100.7,67.5,322,100.36,35.0,
196.8,17.5,100.7,75.9,307,100.38,35.0,
197.76,17.5,100.7,79.2,351,100.38,35.0,
198.72,17.6,100.7,53.4,352,100.37,35.0,
199.68,17.7,100.7,43.0,575,100.39,35.0,
200.64,17.8,100.7,71.3,791,100.38,34.9,
201.6,17.8,100.7,93.7,457,100.37,35.6,
202.56,17.9,100.7,64.4,370,100.36,49.0,
203.52,17.9,100.7,48.2,325,100.37,57.7,
204.48,18.0,100.7,42.6,547,100.35,65.9,
205.44,18.1,100.7,65.1,688,100.36,70.2,
206.4,18.1,100.9,62.0,948,100.37,71.8,
207.36,18.2,100.9,68.5,883,100.36,72.0,
208.32,18.2,100.9,72.8,877,100.36,71.4,
209.28,18.3,100.9,71.2,795,100.37,70.5,
210.24,18.4,100.9,77.0,727,100.37,69.4,
211.2,18.4,100.9,69.3,785,100.38,68.4,
212.16,18.5,100.9,47.0,758,100.36,67.5,
213.12,18.5,100.9,76.7,742,100.40,66.6,
214.08,18.6,100.9,67.3,742,100.37,65.6,
215.04,18.6,100.9,55.4,736,100.39,64.7,
216,18.7,100.9,40.0,733,100.38,64.0,
216.96,18.7,100.9,71.4,728,100.40,63.3,
217.92,18.8,100.9,73.9,731,100.39,62.6,
218.88,18.8,100.9,45.8,698,100.38,62.1,
219.84,18.9,100.9,91.9,645,100.37,62.1,
220.8,18.9,100.9,72.5,536,100.37,62.2,
221.76,18.9,100.9,70.0,698,100.35,62.6,
222.72,19.0,100.9,61.9,873,100.40,62.9,
223.68,19.0,100.9,72.4,784,100.39,62.9,
224.64,19.1,100.9,80.6,971,100.38,62.8,
